Name|Position(xyz)|Rotation(xyzw)
pano1|-0.038389939814806,0.011593419127166,1.6026632785797|-0.0084682730957866,0.0028148479759693,-0.022458562627435,0.9997079372406||
pano2|-1.3342481851578,-0.093398459255695,1.6130011081696|-0.0063677439466119,0.0021882932633162,-0.095283545553684,0.99542742967606||
pano3|-2.181821346283,-0.039339531213045,1.6168920993805|-0.0028464430943131,-0.003352731000632,0.17663137614727,0.98426723480225||
pano4|-0.5892471075058,-0.97870379686356,1.6179299354553|-0.0096951955929399,0.00045093573862687,-0.17949119210243,0.98371171951294||
pano5|-0.51991820335388,-2.9335477352142,1.5982773303986|-0.0068706138990819,0.0040006814524531,-0.25479647517204,0.96696203947067||
pano6|1.8541536331177,-3.0111165046692,1.5998932123184|-0.011153960600495,-0.0080692814663053,0.46151146292686,0.88702744245529||
pano7|-3.1120641231537,-0.31745806336403,1.6161261796951|0.0027404082939029,-0.0072966418229043,0.97485816478729,-0.22269012033939||
pano8|-3.451408624649,-0.96538156270981,1.6117331981659|-0.0068148095160723,0.0065913628786802,-0.74817496538162,0.66343379020691||
pano9|-4.5248422622681,0.22037093341351,1.6062077283859|0.0022172045428306,-0.0051853535696864,0.92792016267776,-0.37273642420769||
pano10|-4.480751991272,1.3578277826309,1.6148438453674|-0.0015847744653001,-0.0087306508794427,0.95886778831482,0.28371453285217||
pano11|-6.0803928375244,-0.36105373501778,1.6002470254898|-0.006470981054008,0.0021725210826844,-0.76098144054413,0.64873778820038||
pano12|-7.249979019165,0.5891540646553,1.6003947257996|-0.0037916738074273,-0.0076931761577725,0.99584209918976,-0.090692065656185||
pano13|-8.0999364852905,1.9029220342636,1.5985283851624|-0.0012739092344418,-0.0057858824729919,0.99418032169342,0.10756624490023||
pano14|-9.4288492202759,0.45543506741524,1.6019047498703|-0.0060922079719603,0.0070111695677042,-0.83268624544144,0.55366748571396||
pano15|-11.115616798401,0.54831063747406,1.5633020401001|-0.0082095265388489,0.0025006523355842,0.87825036048889,-0.4781242609024||
pano16|-11.146062850952,2.5854518413544,1.5607441663742|-0.017204284667969,-0.0074748839251697,0.96274870634079,0.26974630355835||
